date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:06	69399/69399	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:03%20GMT	https://mattfarley.ca/img/logos/clover.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/clover.svg	(from https://mattfarley.ca/mentorship.html)
11:44:12	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:10%20GMT	https://mattfarley.ca/img/logos/indeed.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/indeed.svg	(from https://mattfarley.ca/mentorship.html)
11:44:12	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:10%20GMT	https://mattfarley.ca/img/logos/yelp.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/yelp.svg	(from https://mattfarley.ca/mentorship.html)
11:44:12	128822/128822	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:10%20GMT	https://mattfarley.ca/img/avatars/dalrae.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/dalrae.png	(from https://mattfarley.ca/mentorship.html)
11:44:12	143556/143556	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:10%20GMT	https://mattfarley.ca/img/avatars/jenann.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/jenann.png	(from https://mattfarley.ca/mentorship.html)
11:44:18	113122/113122	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:15%20GMT	https://mattfarley.ca/img/avatars/jonathan.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/jonathan.png	(from https://mattfarley.ca/mentorship.html)
11:44:18	114097/114097	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:16%20GMT	https://mattfarley.ca/img/avatars/erika.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/erika.png	(from https://mattfarley.ca/mentorship.html)
11:44:19	139940/139940	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:16%20GMT	https://mattfarley.ca/img/avatars/arnold.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/avatars/arnold.png	(from https://mattfarley.ca/mentorship.html)
11:44:19	5808/5808	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:44:16%20GMT	https://mattfarley.ca/contact	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/contact.html	(from https://mattfarley.ca/)
11:44:20	12944/12944	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:17%20GMT	https://mattfarley.ca/img/mf-avatar.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mf-avatar.html	(from https://mattfarley.ca/)
